Rk,Player,Class,Season,Pos,School,Conf,G,MP,PER,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,ORtg,DRtg,OWS,DWS,WS,OBPM,DBPM,BPM
1,Mason Jones,JR,2019-20,G,Arkansas,SEC,31,1050,27.2,0.614,0.533,2.4,16.2,9.4,23,2.7,0.5,15.1,31.6,663,115.7,96.2,4.2,1.8,6.1,8.2,1.9,10.1
2,Reggie Perry,SO,2019-20,F,Mississippi State,SEC,31,963,28.5,0.587,0.531,12.4,25.2,19.1,16.4,1.6,4.1,16.4,28.6,533,116.5,97.5,3.7,1.6,5.2,6,3.1,9.1
3,Skylar Mays,SR,2019-20,G,Louisiana State,SEC,31,1067,23.7,0.622,0.564,1.6,13.8,8.1,17,2.9,0.7,14.4,22,494,123.7,102.6,3.9,1.2,5.1,7,1.7,8.7
4,Nick Richards,JR,2019-20,F,Kentucky,SEC,31,919,25.8,0.674,0.642,11.3,18.6,15.3,1.7,0.2,8,13.2,20.7,394,127.8,95.8,3.4,1.6,5.1,4.1,3.5,7.5
5,Keyontae Johnson,SO,2019-20,F,Florida,SEC,31,970,23.9,0.621,0.593,6.9,20.4,13.8,10.9,2.4,1.2,13.1,21.9,410,121.6,97,3.3,1.6,4.9,5.9,3.5,9.4
6,Immanuel Quickley,SO,2019-20,G,Kentucky,SEC,30,989,20.4,0.595,0.511,2.1,11.9,7.4,11.4,1.6,0.5,10.6,23.4,439,121.3,99.8,3.4,1.4,4.8,6.2,1.1,7.3
7,John Fulkerson,JR,2019-20,F,Tennessee,SEC,31,934,23.8,0.652,0.614,8.3,14.6,11.5,10.2,2.1,3.2,14.9,21.5,385,121.6,96.9,3.1,1.6,4.6,4.5,3.4,7.8
8,Kerry Blackshear Jr.,SR,2019-20,F,Florida,SEC,31,842,24,0.572,0.485,10.9,22.1,16.6,11.9,1.3,2.6,13.7,25,409,119,97.9,3.1,1.3,4.4,5.2,2.8,8.1
9,Samir Doughty,SR,2019-20,G,Auburn,SEC,31,1032,19.4,0.555,0.493,2.9,9.8,6.3,16.9,2,0.4,13.6,25,491,114.1,101.7,3,1.3,4.3,5.2,1,6.3
10,Kira Lewis Jr.,SO,2019-20,G,Alabama,SEC,31,1167,19.8,0.56,0.521,2.3,10.6,6.5,27.7,2.5,1.5,17.6,24.3,593,110.1,103.5,2.9,1.2,4.2,4.1,1.9,6
11,Emmitt Williams,SO,2019-20,F,Louisiana State,SEC,31,868,24.7,0.625,0.575,10.1,15.5,13,7.9,1.6,4.8,15,21.5,401,123.1,102.6,3.1,1,4.1,4.9,2.8,7.7
12,Saben Lee,JR,2019-20,G,Vanderbilt,SEC,32,1052,24.3,0.58,0.53,1.9,11,6.3,31.9,2.7,0.9,16.2,29.4,594,111.3,107.9,3.4,0.7,4,5.8,0.2,6
13,Dru Smith,JR,2019-20,G,Missouri,SEC,31,1017,19.4,0.543,0.454,4.6,10.7,7.6,27,3.8,1.5,19.2,22.6,421,107.8,95.7,2.2,1.8,4,3.9,4.1,7.9
14,Breein Tyree,SR,2019-20,G,Mississippi,SEC,31,1073,21,0.553,0.496,1.1,11.5,6.3,17.7,2.2,0.4,12.1,30,553,107.4,102,2.7,1.3,4,4.4,0.1,4.5
15,Austin Wiley,SR,2019-20,C,Auburn,SEC,31,663,30.2,0.614,0.574,17.8,29.1,23.4,5.4,1.4,8.2,16.2,23.1,336,121.2,90.7,2.5,1.5,4,2.9,5.2,8.1
16,Jimmy Whitt,SR,2019-20,G,Arkansas,SEC,32,1181,17.1,0.522,0.487,4.1,12.1,8.1,12.5,2.1,1.3,9.3,20.4,450,107.8,99,2.2,1.8,3.9,0.6,3.1,3.7
17,Josh Nebo,SR,2019-20,F,Texas A&M,SEC,29,836,24.4,0.66,0.665,10,15.2,12.6,7.8,0.9,9.6,17.7,20.9,331,117.9,99.1,2.4,1.2,3.7,2.9,5.8,8.7
18,Darius Days,SO,2019-20,F,Louisiana State,SEC,31,729,23.6,0.593,0.562,12.5,19.2,16,6.4,1.4,1.5,9.6,21.3,336,127.2,103,2.8,0.8,3.6,7.2,-0.5,6.7
19,Anthony Edwards,FR,2019-20,G,Georgia,SEC,32,1057,20.8,0.52,0.473,2.5,14.8,8.7,17.9,2.3,1.7,12.9,30.4,573,105.8,103.6,2.5,1.1,3.6,4.2,0.8,5.1
20,Maik Kotsar,SR,2019-20,F,South Carolina,SEC,31,944,19.1,0.524,0.497,7,16,11.4,14.8,2.7,4.5,12.6,19.1,352,109.3,94.6,1.8,1.8,3.6,1.8,5.8,7.6
21,Tyrese Maxey,FR,2019-20,G,Kentucky,SEC,31,1069,16.3,0.531,0.474,1.4,12.1,7.3,18.7,1.5,1.3,14.1,22.7,424,107.1,99.6,2.1,1.5,3.6,3.1,2.4,5.4
22,KJ Buffen,SO,2019-20,F,Mississippi,SEC,32,924,19.1,0.55,0.514,8.3,16.7,12.5,12.1,2.9,3.4,14.3,19.1,331,109.6,96.6,1.8,1.6,3.4,1.8,5,6.8
23,Isaac Okoro,FR,2019-20,F,Auburn,SEC,28,881,19.2,0.587,0.556,6.4,8.8,7.6,13.1,1.7,3.1,15.2,19.6,351,116.7,101.3,2.3,1.1,3.4,4.3,3.4,7.8
24,Jordan Bowden,SR,2019-20,G,Tennessee,SEC,31,1067,15.3,0.506,0.45,1.9,11.6,6.9,17.8,1.7,1,10.8,23,403,106,100.5,1.9,1.4,3.3,2.7,0.9,3.6
25,Tyson Carter,SR,2019-20,G,Mississippi State,SEC,31,888,18.9,0.544,0.484,0.6,9.6,5.3,22,2.3,0.5,14.3,26.2,412,112.2,104.5,2.5,0.8,3.3,4.8,-0.9,3.9
26,Ashton Hagans,SO,2019-20,G,Kentucky,SEC,30,994,17.3,0.519,0.434,0.9,11.8,6.9,36.4,3.4,0.7,23.7,22.4,408,101.8,95.6,1.5,1.8,3.3,2.7,3.4,6.1
27,John Petty,JR,2019-20,G,Alabama,SEC,29,971,18.5,0.616,0.603,4.1,15.9,10.1,14.1,1.8,1.9,18,19.6,398,113,102.7,2.2,1.1,3.3,4.8,2.4,7.2
28,Robert Woodard,SO,2019-20,G,Mississippi State,SEC,31,1025,18.1,0.564,0.549,8.2,14.8,11.7,7.6,2,3.4,15.7,18.2,337,111.4,101.4,2,1.3,3.3,3.3,2.8,6.2
29,Isaiah Joe,SO,2019-20,G,Arkansas,SEC,26,939,17.5,0.544,0.497,1.7,11.5,6.6,10,2.2,0.8,10,24.2,402,106.4,99.2,1.8,1.4,3.2,4.5,0.7,5.3
30,Andrew Nembhard,SO,2019-20,G,Florida,SEC,31,1030,16.5,0.528,0.495,0.4,10.2,5.4,33.2,1.9,0.2,19.6,20.9,397,107.3,102.7,2,1.2,3.2,3,1,4
31,Jaden Shackelford,FR,2019-20,G,Alabama,SEC,31,911,18.2,0.567,0.531,4.5,11.1,7.8,9.4,1,0.6,10.1,22.9,424,115.7,107.2,2.5,0.6,3.2,5,-1,4
32,Yves Pons,JR,2019-20,G,Tennessee,SEC,31,1052,15.9,0.559,0.545,6.4,12.1,9.3,6.9,0.7,7.7,14.3,17.4,306,106.5,99,1.5,1.6,3.1,1.3,4.8,6.2
33,Devontae Shuler,JR,2019-20,G,Mississippi,SEC,32,1060,16.4,0.514,0.492,2.4,13.6,8,21.1,3,1,14.4,20.6,378,102.5,99.1,1.4,1.6,3,2.3,3,5.2
34,Trendon Watford,FR,2019-20,F,Louisiana State,SEC,31,979,18.9,0.549,0.517,7.9,16.9,12.6,9.9,1.6,2.5,17.6,23,416,106.7,103.4,1.9,1,3,2.5,1.8,4.2
35,Rayshaun Hammonds,JR,2019-20,F,Georgia,SEC,32,896,19.2,0.535,0.516,8.3,20.9,14.7,10.8,1.7,1.5,13.6,23.9,397,107.4,102.4,1.9,1,2.9,2.7,1.3,4
36,A.J. Lawson,SO,2019-20,G,South Carolina,SEC,31,903,16.2,0.541,0.502,1.9,12.2,7,12.4,2.3,0.5,13.9,23.4,376,105.5,98.9,1.6,1.3,2.9,3.2,0.9,4.2
37,Scottie Lewis,FR,2019-20,G,Florida,SEC,30,872,15.8,0.562,0.5,4.3,10.6,7.5,4.9,2.5,4.7,13,15.7,243,113.2,98.7,1.5,1.3,2.9,2.5,5.3,7.8
38,Noah Locke,SO,2019-20,G,Florida,SEC,31,923,14.6,0.585,0.576,0.9,9.1,5.1,4.7,1.3,0.1,7.6,17.3,275,118.6,104.6,2,0.9,2.9,4.7,0.4,5.1
39,Ja'vonte Smart,SO,2019-20,G,Louisiana State,SEC,31,1061,15.3,0.516,0.482,2,9,5.7,21.1,1.8,0.5,15.7,20.3,408,108.7,107.5,2.1,0.7,2.8,3.5,0.1,3.6
40,J'Von McCormick,SR,2019-20,G,Auburn,SEC,31,972,14.6,0.468,0.444,3.4,10.4,6.9,28.3,2,0.2,16.1,22.6,397,102.1,101.4,1.4,1.2,2.6,2.3,1.5,3.9
41,Aaron Nesmith,SO,2019-20,F,Vanderbilt,SEC,14,500,29,0.685,0.659,2.5,13.9,8,6.9,2.3,2.6,9.3,26.3,260,127.8,106.8,2.2,0.4,2.6,8.7,-0.4,8.3
42,Danjel Purifoy,SR,2019-20,F,Auburn,SEC,30,797,14.7,0.524,0.482,4.8,13,8.9,10.4,1.8,1.1,11.3,16.5,252,114.4,100.6,1.6,1.1,2.6,3.6,2.4,6.1
43,Abdul Ado,JR,2019-20,F,Mississippi State,SEC,31,876,15.9,0.605,0.595,14.1,14,14.1,4,1.1,7.3,22.3,10.8,205,116.1,101.6,1.4,1.1,2.5,2.8,5,7.8
44,Desi Sills,SO,2019-20,G,Arkansas,SEC,32,997,11.9,0.534,0.511,2.3,8.7,5.5,7.8,1.7,0.5,12.1,18.4,319,102.6,101.4,1.2,1.2,2.4,1.4,1.1,2.5
45,Khadim Sy,JR,2019-20,F,Mississippi,SEC,31,729,17.1,0.579,0.542,7.6,19.8,13.7,7,1.7,3.9,17.7,20.7,265,105.1,97.7,1.2,1.2,2.3,-0.1,3.2,3.1
46,Adrio Bailey,SR,2019-20,F,Arkansas,SEC,32,727,14.8,0.535,0.532,5.6,16.9,11.3,5.1,3,6.7,16.4,15.8,202,100.2,92.1,0.6,1.6,2.2,-0.8,6.8,6
47,Anfernee McLemore,SR,2019-20,F,Auburn,SEC,31,630,16,0.537,0.512,6.6,16.8,11.6,4,2,5.8,12.9,17.1,197,109.7,95.6,1,1.1,2.2,1.7,4.5,6.1
48,Xavier Pinson,SO,2019-20,G,Missouri,SEC,31,743,16,0.52,0.445,3.1,10.8,6.9,27.7,1.9,0,19.3,28.3,348,100.5,100.4,1.2,1,2.2,2.3,0.3,2.6
49,Jair Bolden,SR,2019-20,G,South Carolina,SEC,30,642,14.9,0.535,0.522,1,11.4,6.1,12.2,2.1,0.6,8.8,19.2,224,110.5,99.5,1.2,0.9,2.1,2.8,0.8,3.6
50,Donnell Gresham Jr.,SR,2019-20,G,Georgia,SEC,32,633,16.5,0.583,0.522,7.2,15.1,11.2,12.5,2.8,0,14.3,12.2,181,124.8,103.2,1.4,0.7,2.1,4.3,2.4,6.7
51,Herb Jones,JR,2019-20,F,Alabama,SEC,27,716,15.5,0.529,0.487,8,16.7,12.4,15.1,2.5,2.6,19.8,16.1,248,107.4,100.1,1.1,1,2.1,1,4.6,5.6
52,Justin Minaya,JR,2019-20,F,South Carolina,SEC,22,655,14.6,0.508,0.476,6.8,15.7,11.1,11.9,1.2,3.8,10.6,13.7,185,113.8,98.5,1.1,1,2.1,2.5,4,6.5
